indice_sistema,area,cobertura,territorio,año,geo
389,0.014273714477539,24,ANP,2015,
390,0.0267633035888671,24,ANP,2016,
391,0.0276552820434569,24,ANP,2017,
392,0.0365750690307615,24,ANP,2018,
393,0.0419269692382812,24,ANP,2019,
394,0.0561986698608398,24,ANP,2020,
395,0.0660106197509765,24,ANP,2021,
396,0.0695785857543944,24,ANP,2022,
397,0.0722563901367187,24,ANP,2023,
398,0.0847642434082029,24,ANP,2024,
399,0.4358478179931634,25,ANP,1985,
400,0.4609384457397453,25,ANP,1986,
401,0.3822718522338861,25,ANP,1987,
402,0.2821682830810542,25,ANP,1988,
403,0.4795933099975584,25,ANP,1989,
404,0.4089493529663082,25,ANP,1990,
405,0.3276876334838862,25,ANP,1991,
406,0.3624809608154291,25,ANP,1992,
407,0.4027248688354486,25,ANP,1993,
408,0.402735301391601,25,ANP,1994,
409,0.2258116354980464,25,ANP,1995,
410,0.1820610355224606,25,ANP,1996,
411,0.1972496619262694,25,ANP,1997,
412,0.2151147501220699,25,ANP,1998,
413,0.1714289088134762,25,ANP,1999,
414,0.1875033553466793,25,ANP,2000,
415,0.1759017116088863,25,ANP,2001,
416,0.2900253864746089,25,ANP,2002,
417,0.2971051791992182,25,ANP,2003,
418,0.3657366755981438,25,ANP,2004,
419,0.3282188824462884,25,ANP,2005,
420,0.2675560444946285,25,ANP,2006,
421,0.1195926429443354,25,ANP,2007,
422,0.1936568227539058,25,ANP,2008,
423,0.4062562999877926,25,ANP,2009,
424,0.6322849944458003,25,ANP,2010,
425,0.6707163663940426,25,ANP,2011,
426,0.6171821389770507,25,ANP,2012,
427,0.5537956945800783,25,ANP,2013,
428,0.566295564025879,25,ANP,2014,
429,0.5653861939697266,25,ANP,2015,
430,0.3938835453491209,25,ANP,2016,
431,0.3938769012451171,25,ANP,2017,
432,0.1705395634765622,25,ANP,2018,
433,0.1526725669555663,25,ANP,2019,
434,0.0713918683471677,25,ANP,2020,
435,0.056221341552734,25,ANP,2021,
436,0.0651681026000973,25,ANP,2022,
437,0.0696366126098629,25,ANP,2023,
438,0.0785805922241208,25,ANP,2024,
439,0.0062440158081054,29,ANP,1985,
440,0.0008920016479492,29,ANP,1989,
441,0.0160861827392578,30,ANP,2022,
442,0.0187672099609374,30,ANP,2023,
443,0.0116177944946289,30,ANP,2024,
444,3.429272564270033,33,ANP,1985,
445,3.329294196594246,33,ANP,1986,
446,3.399916464355478,33,ANP,1987,
447,3.530344007934578,33,ANP,1988,
448,2.799281475646975,33,ANP,1989,
449,2.736724763916018,33,ANP,1990,
450,2.7277456068725603,33,ANP,1991,
451,2.736690515197756,33,ANP,1992,
452,3.0563197450561543,33,ANP,1993,
453,3.107981143127446,33,ANP,1994,
454,2.9481312070922896,33,ANP,1995,
455,3.025960069824218,33,ANP,1996,
456,3.3118759712524404,33,ANP,1997,
457,3.0126515003662098,33,ANP,1998,
458,3.067991499511716,33,ANP,1999,
459,3.1268960117187494,33,ANP,2000,
460,3.262662219482422,33,ANP,2001,
461,3.2421808958740215,33,ANP,2002,
462,3.0930833474121098,33,ANP,2003,
463,3.1448402090454093,33,ANP,2004,
464,3.047497828186034,33,ANP,2005,
465,3.0599508204345702,33,ANP,2006,
466,3.0545640784912136,33,ANP,2007,
467,3.0259741353149403,33,ANP,2008,
468,2.8892719519653327,33,ANP,2009,
469,2.7472773553466796,33,ANP,2010,
470,2.7374169605712892,33,ANP,2011,
471,2.8195801794433604,33,ANP,2012,
472,2.9143176098022465,33,ANP,2013,
473,2.952737105407715,33,ANP,2014,
474,2.9724231179199228,33,ANP,2015,
475,2.922398712707519,33,ANP,2016,
476,2.9179107322998044,33,ANP,2017,
477,2.7661050347290033,33,ANP,2018,
478,2.716107942993164,33,ANP,2019,
479,2.7705791141967766,33,ANP,2020,
480,2.9126077124023424,33,ANP,2021,
481,2.938508670715331,33,ANP,2022,
482,2.9715561182861316,33,ANP,2023,
483,3.0108225451660164,33,ANP,2024,
484,0.0053508606567382,68,ANP,1991,
485,0.0053508606567382,68,ANP,1992,
486,0.0053508606567382,68,ANP,1993,
487,0.0008918110351562,68,ANP,1994,
488,0.00268084765625,68,ANP,2005,
489,0.0062553103027343,68,ANP,2008,
490,0.0062553103027343,68,ANP,2009,
491,0.0044590513916014,68,ANP,2024,
492,236164.6630636215,3,tis,1985,
493,236304.2758380484,3,tis,1986,
494,236712.4184204674,3,tis,1987,
495,236814.7114869407,3,tis,1988,
496,236685.4583581668,3,tis,1989,
497,236689.96448919605,3,tis,1990,
498,236704.5520584021,3,tis,1991,
499,236473.09664251647,3,tis,1992,
500,236366.65624487915,3,tis,1993,
501,236401.81939097695,3,tis,1994,
502,236266.54380356276,3,tis,1995,
503,236233.5179350045,3,tis,1996,
504,236168.3442767799,3,tis,1997,
505,236360.45549282632,3,tis,1998,
506,236384.59034758253,3,tis,1999,
507,236061.54036273825,3,tis,2000,
508,235921.9468086088,3,tis,2001,
509,235980.0902265641,3,tis,2002,
510,235916.09525657163,3,tis,2003,
511,235905.33238453112,3,tis,2004,
512,235980.58798515928,3,tis,2005,
513,235886.26654107196,3,tis,2006,
514,235608.8276950381,3,tis,2007,
515,235597.16392671896,3,tis,2008,
516,235820.75488983365,3,tis,2009,
517,235885.59787660107,3,tis,2010,
518,235863.04571204583,3,tis,2011,
519,235738.02491459975,3,tis,2012,
520,235715.85696635876,3,tis,2013,
521,235787.51382235452,3,tis,2014,
522,235878.12223745996,3,tis,2015,
523,235899.35048222184,3,tis,2016,
524,235825.346003266,3,tis,2017,
525,235595.27327720268,3,tis,2018,
526,235364.07486991928,3,tis,2019,
527,235186.60648009213,3,tis,2020,
528,234871.2786524234,3,tis,2021,
529,234855.0314244601,3,tis,2022,
530,234679.18414197047,3,tis,2023,
531,235247.91467448577,3,tis,2024,
532,28697.73925310043,6,tis,1985,
533,28304.398675079818,6,tis,1986,
534,28077.349908133892,6,tis,1987,
535,27947.00583214703,6,tis,1988,
536,27982.1501741331,6,tis,1989,
537,27994.37292878244,6,tis,1990,
538,27862.36863136332,6,tis,1991,
539,28181.14083868242,6,tis,1992,
540,28188.295086926668,6,tis,1993,
541,28101.469734862934,6,tis,1994,
542,28164.926954995568,6,tis,1995,
543,28176.28511456661,6,tis,1996,
544,28154.248601715048,6,tis,1997,
545,27869.34187344072,6,tis,1998,
546,27676.81233644488,6,tis,1999,
547,27842.72774439893,6,tis,2000,
548,27897.77580863483,6,tis,2001,
549,27782.58706972224,6,tis,2002,
550,27789.556280022614,6,tis,2003,
551,27745.597820590207,6,tis,2004,
552,27669.375585079106,6,tis,2005,
553,27734.525698752474,6,tis,2006,
554,28010.6862808685,6,tis,2007,
555,27981.115951920023,6,tis,2008,
556,27787.96932987413,6,tis,2009,
557,27687.25311226895,6,tis,2010,
558,27659.851955437127,6,tis,2011,
559,27769.526830304418,6,tis,2012,
560,27730.185525175784,6,tis,2013,
561,27629.081987412417,6,tis,2014,
562,27503.17313607771,6,tis,2015,
563,27500.057099896218,6,tis,2016,
564,27540.1018185343,6,tis,2017,
565,27682.21252031623,6,tis,2018,
566,27783.282909023263,6,tis,2019,
567,27825.36710859156,6,tis,2020,
568,28025.18293937549,6,tis,2021,
569,27942.20252670961,6,tis,2022,
570,28080.07313696337,6,tis,2023,
571,27509.206183223017,6,tis,2024,
572,3280.054573501241,11,tis,1985,
573,3448.2867384855476,11,tis,1986,
574,3390.6697000515173,11,tis,1987,
575,3308.3629856215375,11,tis,1988,
576,3347.7642928491505,11,tis,1989,
577,3164.5069662075343,11,tis,1990,
578,3221.1216557262005,11,tis,1991,
579,3243.978608749314,11,tis,1992,
580,3262.262589004909,11,tis,1993,
581,3309.9523204496713,11,tis,1994,
582,3358.979437135697,11,tis,1995,
583,3405.659998201991,11,tis,1996,
584,3408.532855903586,11,tis,1997,
585,3392.162043477981,11,tis,1998,
586,3395.8046625260663,11,tis,1999,
587,3403.8939694255405,11,tis,2000,
588,3426.399623791087,11,tis,2001,
589,3437.2181010781355,11,tis,2002,
590,3404.8729784445222,11,tis,2003,
591,3415.4601858665155,11,tis,2004,
592,3401.3069556347336,11,tis,2005,
593,3391.069915557015,11,tis,2006,
594,3359.971131547726,11,tis,2007,
595,3351.939551698265,11,tis,2008,
596,3368.753121932932,11,tis,2009,
597,3386.4117557761465,11,tis,2010,
598,3416.2591609292044,11,tis,2011,
599,3393.719354028869,11,tis,2012,
600,3356.586523442836,11,tis,2013,
601,3313.3363106468714,11,tis,2014,
602,3338.34883954868,11,tis,2015,
603,3268.9617594450215,11,tis,2016,
604,3115.93302130809,11,tis,2017,
605,3163.789858633771,11,tis,2018,
606,3208.1618983146045,11,tis,2019,
607,3197.9631609321054,11,tis,2020,
608,3214.37920947642,11,tis,2021,
609,3182.9893101661055,11,tis,2022,
610,3092.16817159983,11,tis,2023,
611,3171.495396844311,11,tis,2024,
612,4491.3339485930155,12,tis,1985,
613,4591.82437075156,12,tis,1986,
614,4600.385158429216,12,tis,1987,
615,4667.493294556828,12,tis,1988,
616,4658.158732509467,12,tis,1989,
617,4731.543907605748,12,tis,1990,
618,4746.269959638472,12,tis,1991,
619,4634.893572388829,12,tis,1992,
620,4603.068678704238,12,tis,1993,
621,4614.142820933315,12,tis,1994,
622,4591.370659187042,12,tis,1995,
623,4584.719827348822,12,tis,1996,
624,4568.0120713735205,12,tis,1997,
625,4569.950805103288,12,tis,1998,
626,4602.599980508647,12,tis,1999,
627,4652.499612236412,12,tis,2000,
628,4622.202295639867,12,tis,2001,
629,4629.091089027261,12,tis,2002,
630,4628.727713515881,12,tis,2003,
631,4617.789054287186,12,tis,2004,
632,4596.392173689786,12,tis,2005,
633,4614.071278724068,12,tis,2006,
634,4630.284693150785,12,tis,2007,
635,4613.031689262834,12,tis,2008,
636,4614.309917120288,12,tis,2009,
637,4575.839186592703,12,tis,2010,
638,4564.147130917829,12,tis,2011,
639,4590.194302032033,12,tis,2012,
640,4604.549646088296,12,tis,2013,
641,4597.39794170408,12,tis,2014,
642,4618.58763887818,12,tis,2015,
643,4573.586510597685,12,tis,2016,
644,4643.905003579742,12,tis,2017,
645,4670.395356983929,12,tis,2018,
646,4678.5658685182225,12,tis,2019,
647,4687.547387711956,12,tis,2020,
648,4664.141874439755,12,tis,2021,
649,4678.062000920718,12,tis,2022,
650,4683.0856354788975,12,tis,2023,
651,4596.222570055148,12,tis,2024,
652,1298.5777717047629,13,tis,1985,
653,1271.823312238579,13,tis,1986,
654,1240.027964853102,13,tis,1987,
655,1228.0431087169054,13,tis,1988,
656,1210.2378011881378,13,tis,1989,
657,1212.484694144287,13,tis,1990,
658,1222.6632662005925,13,tis,1991,
659,1225.3848081354795,13,tis,1992,
660,1219.9345178593949,13,tis,1993,
661,1196.9448265356878,13,tis,1994,
662,1199.407039757973,13,tis,1995,
663,1201.2346274117433,13,tis,1996,
664,1205.1658726157896,13,tis,1997,
665,1216.5753077686566,13,tis,1998,
666,1245.6465761077725,13,tis,1999,
667,1279.7457413523368,13,tis,2000,
668,1289.949129948335,13,tis,2001,
669,1285.072420284589,13,tis,2002,
670,1303.378506849519,13,tis,2003,
671,1324.7213309523042,13,tis,2004,
672,1328.1338953484926,13,tis,2005,
673,1317.9506336102106,13,tis,2006,
674,1310.187622143084,13,tis,2007,
675,1307.009797354283,13,tis,2008,
676,1286.6396150695325,13,tis,2009,
677,1280.835797126637,13,tis,2010,
678,1278.1368199733486,13,tis,2011,
679,1272.8001898409732,13,tis,2012,
680,1272.5605681784743,13,tis,2013,
681,1296.9022853897325,13,tis,2014,
682,1294.4569987635637,13,tis,2015,
683,1292.041734663938,13,tis,2016,
684,1295.2831874870164,13,tis,2017,
685,1286.2734353798407,13,tis,2018,
686,1290.2071474763006,13,tis,2019,
687,1295.3130777627443,13,tis,2020,
