territory,name,class,year,area
351,ANP,23,2016,0.0571887197265621
352,ANP,23,2017,0.055400328430175574
353,ANP,23,2018,0.04825376007080041
354,ANP,23,2019,0.18672525769042922
355,ANP,23,2020,0.17425738909912072
356,ANP,23,2021,0.06790627014160114
357,ANP,23,2022,0.058973468078613006
358,ANP,23,2023,0.05093046209716766
359,ANP,23,2024,0.06612526757812472
360,ANP,24,1986,0.0035698007812499126
361,ANP,24,1987,0.0035698007812499126
362,ANP,24,1988,0.0035698007812499126
363,ANP,24,1989,0.0035698007812499126
364,ANP,24,1990,0.0035698007812499126
365,ANP,24,1991,0.0035698007812499126
366,ANP,24,1992,0.004461795288085913
367,ANP,24,1993,0.004461795288085913
368,ANP,24,1994,0.004461795288085913
369,ANP,24,1995,0.004461795288085913
370,ANP,24,1996,0.005353790039062413
371,ANP,24,1997,0.005353790039062413
372,ANP,24,1998,0.0062457831420898125
373,ANP,24,1999,0.0062457831420898125
374,ANP,24,2000,0.0062457831420898125
375,ANP,24,2001,0.0062457831420898125
376,ANP,24,2002,0.007137781738281212
377,ANP,24,2003,0.007137781738281212
378,ANP,24,2004,0.007137781738281212
379,ANP,24,2005,0.008029776245117113
380,ANP,24,2006,0.008029776245117113
381,ANP,24,2007,0.009813747802734312
382,ANP,24,2008,0.009813747802734312
383,ANP,24,2009,0.010705740905761714
384,ANP,24,2010,0.010705740905761714
385,ANP,24,2011,0.010705740905761714
386,ANP,24,2012,0.010705740905761714
387,ANP,24,2013,0.010705740905761714
388,ANP,24,2014,0.013381719970703114
389,ANP,24,2015,0.014273714477539013
390,ANP,24,2016,0.0267633035888671
391,ANP,24,2017,0.027655282043456998
392,ANP,24,2018,0.036575069030761596
393,ANP,24,2019,0.0419269692382812
394,ANP,24,2020,0.0561986698608398
395,ANP,24,2021,0.06601061975097651
396,ANP,24,2022,0.0695785857543944
397,ANP,24,2023,0.0722563901367187
398,ANP,24,2024,0.0847642434082029
399,ANP,25,1985,0.43584781799316347
400,ANP,25,1986,0.46093844573974535
401,ANP,25,1987,0.3822718522338861
402,ANP,25,1988,0.2821682830810542
403,ANP,25,1989,0.47959330999755845
404,ANP,25,1990,0.40894935296630824
405,ANP,25,1991,0.3276876334838862
406,ANP,25,1992,0.36248096081542913
407,ANP,25,1993,0.40272486883544867
408,ANP,25,1994,0.402735301391601
409,ANP,25,1995,0.22581163549804648
410,ANP,25,1996,0.1820610355224606
411,ANP,25,1997,0.19724966192626942
412,ANP,25,1998,0.2151147501220699
413,ANP,25,1999,0.17142890881347622
414,ANP,25,2000,0.1875033553466793
415,ANP,25,2001,0.1759017116088863
416,ANP,25,2002,0.29002538647460896
417,ANP,25,2003,0.2971051791992182
418,ANP,25,2004,0.3657366755981438
419,ANP,25,2005,0.3282188824462884
420,ANP,25,2006,0.2675560444946285
421,ANP,25,2007,0.11959264294433546
422,ANP,25,2008,0.1936568227539058
423,ANP,25,2009,0.4062562999877926
424,ANP,25,2010,0.6322849944458003
425,ANP,25,2011,0.6707163663940426
426,ANP,25,2012,0.6171821389770507
427,ANP,25,2013,0.5537956945800783
428,ANP,25,2014,0.566295564025879
429,ANP,25,2015,0.5653861939697266
430,ANP,25,2016,0.39388354534912096
431,ANP,25,2017,0.3938769012451171
432,ANP,25,2018,0.17053956347656227
433,ANP,25,2019,0.15267256695556636
434,ANP,25,2020,0.07139186834716776
435,ANP,25,2021,0.056221341552734096
436,ANP,25,2022,0.06516810260009734
437,ANP,25,2023,0.06963661260986295
438,ANP,25,2024,0.0785805922241208
439,ANP,29,1985,0.0062440158081054
440,ANP,29,1989,0.0008920016479492187
441,ANP,30,2022,0.0160861827392578
442,ANP,30,2023,0.0187672099609374
443,ANP,30,2024,0.0116177944946289
444,ANP,33,1985,3.4292725642700326
445,ANP,33,1986,3.329294196594246
446,ANP,33,1987,3.399916464355478
447,ANP,33,1988,3.5303440079345774
448,ANP,33,1989,2.799281475646975
449,ANP,33,1990,2.736724763916018
450,ANP,33,1991,2.7277456068725603
451,ANP,33,1992,2.736690515197756
452,ANP,33,1993,3.0563197450561543
453,ANP,33,1994,3.107981143127446
454,ANP,33,1995,2.9481312070922896
455,ANP,33,1996,3.025960069824218
456,ANP,33,1997,3.3118759712524404
457,ANP,33,1998,3.0126515003662098
458,ANP,33,1999,3.067991499511716
459,ANP,33,2000,3.1268960117187494
460,ANP,33,2001,3.262662219482422
461,ANP,33,2002,3.2421808958740215
462,ANP,33,2003,3.0930833474121098
463,ANP,33,2004,3.1448402090454093
464,ANP,33,2005,3.047497828186034
465,ANP,33,2006,3.0599508204345702
466,ANP,33,2007,3.0545640784912136
467,ANP,33,2008,3.0259741353149403
468,ANP,33,2009,2.8892719519653327
469,ANP,33,2010,2.7472773553466796
470,ANP,33,2011,2.7374169605712892
471,ANP,33,2012,2.8195801794433604
472,ANP,33,2013,2.9143176098022465
473,ANP,33,2014,2.952737105407715
474,ANP,33,2015,2.9724231179199228
475,ANP,33,2016,2.922398712707519
476,ANP,33,2017,2.9179107322998044
477,ANP,33,2018,2.7661050347290033
478,ANP,33,2019,2.716107942993164
479,ANP,33,2020,2.7705791141967766
480,ANP,33,2021,2.9126077124023424
481,ANP,33,2022,2.938508670715331
482,ANP,33,2023,2.9715561182861316
483,ANP,33,2024,3.0108225451660164
484,ANP,68,1991,0.005350860656738218
485,ANP,68,1992,0.005350860656738218
486,ANP,68,1993,0.005350860656738218
487,ANP,68,1994,0.00089181103515625
488,ANP,68,2005,0.00268084765625
489,ANP,68,2008,0.0062553103027343
490,ANP,68,2009,0.0062553103027343
491,ANP,68,2024,0.0044590513916014625
492,tis,3,1985,236164.6630636215
493,tis,3,1986,236304.2758380484
494,tis,3,1987,236712.4184204674
495,tis,3,1988,236814.7114869407
496,tis,3,1989,236685.4583581668
497,tis,3,1990,236689.96448919605
498,tis,3,1991,236704.5520584021
499,tis,3,1992,236473.09664251647
500,tis,3,1993,236366.65624487915
501,tis,3,1994,236401.81939097695
502,tis,3,1995,236266.54380356276
503,tis,3,1996,236233.51793500446
504,tis,3,1997,236168.34427677994
505,tis,3,1998,236360.45549282632
506,tis,3,1999,236384.59034758253
507,tis,3,2000,236061.54036273825
508,tis,3,2001,235921.9468086088
509,tis,3,2002,235980.0902265641
510,tis,3,2003,235916.09525657163
511,tis,3,2004,235905.33238453112
512,tis,3,2005,235980.58798515928
513,tis,3,2006,235886.26654107196
514,tis,3,2007,235608.8276950381
515,tis,3,2008,235597.16392671896
516,tis,3,2009,235820.75488983365
517,tis,3,2010,235885.59787660107
518,tis,3,2011,235863.04571204586
519,tis,3,2012,235738.02491459975
520,tis,3,2013,235715.85696635876
521,tis,3,2014,235787.51382235452
522,tis,3,2015,235878.12223745996
523,tis,3,2016,235899.35048222184
524,tis,3,2017,235825.34600326602
525,tis,3,2018,235595.27327720268
526,tis,3,2019,235364.07486991928
527,tis,3,2020,235186.60648009213
528,tis,3,2021,234871.2786524234
529,tis,3,2022,234855.0314244601
530,tis,3,2023,234679.18414197047
531,tis,3,2024,235247.91467448574
532,tis,6,1985,28697.73925310043
533,tis,6,1986,28304.398675079818
534,tis,6,1987,28077.349908133892
535,tis,6,1988,27947.00583214703
536,tis,6,1989,27982.1501741331
537,tis,6,1990,27994.37292878244
538,tis,6,1991,27862.368631363322
539,tis,6,1992,28181.14083868242
540,tis,6,1993,28188.295086926668
541,tis,6,1994,28101.469734862938
542,tis,6,1995,28164.926954995568
543,tis,6,1996,28176.28511456661
544,tis,6,1997,28154.248601715048
545,tis,6,1998,27869.34187344072
546,tis,6,1999,27676.81233644488
547,tis,6,2000,27842.727744398926
548,tis,6,2001,27897.77580863483
549,tis,6,2002,27782.587069722238
550,tis,6,2003,27789.556280022614
551,tis,6,2004,27745.597820590207
552,tis,6,2005,27669.375585079106
553,tis,6,2006,27734.525698752474
554,tis,6,2007,28010.6862808685
555,tis,6,2008,27981.115951920026
556,tis,6,2009,27787.96932987413
557,tis,6,2010,27687.253112268954
558,tis,6,2011,27659.851955437127
559,tis,6,2012,27769.526830304418
560,tis,6,2013,27730.185525175784
561,tis,6,2014,27629.081987412414
562,tis,6,2015,27503.17313607771
563,tis,6,2016,27500.057099896214
564,tis,6,2017,27540.1018185343
565,tis,6,2018,27682.21252031623
566,tis,6,2019,27783.282909023263
567,tis,6,2020,27825.36710859156
568,tis,6,2021,28025.18293937549
569,tis,6,2022,27942.20252670961
570,tis,6,2023,28080.07313696337
571,tis,6,2024,27509.206183223017
572,tis,11,1985,3280.054573501241
573,tis,11,1986,3448.2867384855476
574,tis,11,1987,3390.6697000515173
575,tis,11,1988,3308.3629856215375
